"id","answer","polarity","subjectivity","sentiment"
0,"Great Pay, Flexible Hours, Unlimited Vacation. Health Care, 401K, nothing else really",0.5,0.475,"pos"
1,"Great staff and very helpful. Fair compensation package. As a relatively new employee I have not experienced any negative aspects at this time.",0.1893939394,0.6174242424,"neu"
2,"Great benefits, working condition and people! Must make a 30 mile commute.",1,0.75,"vpos"
3,"Corporate is slow in taking decisions",-0.15,0.2,"neu"
4,"High health care cost, high employee cost of company vehicle with minimal choice, raises cost of employee vehicle mid lease instead of at time of car choice - different vehicles have different employe",0.0366666667,0.48,"neu"
5,"Different businesses / strong financial performance Silo attitude in businesses. Benefits reduced over the year",0.1444444444,0.4444444444,"neu"
6,"Good benefits, great teamwork, flexible employer. Not all organizations align to the same goals. This creates issues when trying to implement projects.",0.5,0.4916666667,"pos"
7,"After being acquired by HSM the culture completely changed. Management openly said they do not care if people leave...get on the bus or get off is something that was said often.",0.05,0.45,"neu"
8,"Excellent pay for new hires Diminishing Benefits, Managers frequently changing",0.4121212121,0.5848484848,"pos"
9,"Usually busy. Much needed employment for the area. Good pay. Lots of changes with a great demand on supervion and labor, but the lack of follow through is hard. Much needed improvment.",0.2847222222,0.4319444444,"pos"
10,"Some great leaders with experience No work from home. Drive around cost cutting",0.1,0.825,"neu"
11,"Wonderful Place to work and also a great job security Not much help can be got from oldies",0.5666666667,0.65,"pos"
12,"-Great company to start a career out of college-Interesting work-They're starting to hire young eager people-Competitive entry-level pay-401k Matching increased-The people",0.3,0.4166666667,"pos"
13,"Lots of work, need more people! Promotions can feel slow. Benefits aren't what they used to be. Some policy updates seem to punish retirees. No EV charging available.",0.2416666667,0.4333333333,"pos"
14,"Work from home, travel to. Other states for projects Depends on who. You are reporting to some people think estimating is a joke",-0.125,0.375,"neu"
15,"So much to say here. Honeywell wants to become a first class software company. Having worked for a couple of Silicon Valley startups, Honeywell is out of their league. They need to hire a leader who u",0.2166666667,0.2111111111,"pos"
16,"Base cost of medical for individual manageable Deductible off the charts and family costs very high",-0.148,0.5255,"neu"
17,"Work from home, great people Some work requirements were not discussed during interview.",0.8,0.75,"vpos"
18,"Frequent furloughs. The stock price is high at the expense of employee income (furloughs) and long hours. Ratings are somewhat based on if you are in the right clique.",0.1239285714,0.4439285714,"neu"
19,"Awesome staff great people love food Don't have any. But really like food.",0.625,0.6375,"vpos"
20,"not sure on the pros never like the work environment !",-0.3125,0.8888888889,"neg"
21,"they have good benefits and work with you limited opportunities in some areas",0.3142857143,0.3714285714,"pos"
22,"Benefits have been gutted over the last 5-10 years, and they are no longer competitive.",0,0.0666666667,"neu"
23,"Good learning and interesting product. Corporate decisions impacting morale.",0.4,0.3666666667,"pos"
24,"Supervisors are caring and very smart. I learned a lot from everyone I worked with. Great culture. On-call shifts were my least favorite.",0.3196428571,0.7464285714,"pos"
25,"Fellow Co-Workers, Job Opportunities and have always had great managers Would like to see more training and development",0.65,0.625,"vpos"
26,"good company for young bloodwilling to train new gradvery nice environment with engineers around management is badboss decides who get promoted",0.3840909091,0.6136363636,"pos"
27,"Sadly the present CEO and his staff do not understand the difference between data driven digital products and standard software development. One bad decision after another in terms of organizational s",-0.24,0.3333333333,"neg"
28,"The CEO does not care about the employees and I'm shocked that his rating is at 65%. You can't ask a question without feeling belittled. The employees have not seen any benefit to the Trump tax reduct",-0.7,0.8,"vneg"
29,"good benefits - insurance, vacation and 401K match. large company with lots of red tape that slows job effectiveness.",0.3047619048,0.3428571429,"pos"
30,"Robust Business practices for aerospace benefits decline year over year",0,0,"neu"
31,"Constant layoffs, incompetent management, low pay, very little merit increases, don't fall for the un-limited vacation policy. you can't take time when you want to. Benefits are absolutely terrible, $",-0.31875,0.53,"neg"
